aba	obo
wajan	wajan
wajar	wajar
wajib	kudu
wajib	mesti
wajik	wajek
wakil	wakel
wakil	wakil
wakilnya	wakile
waktu	moso
waktu	wektu
waktunya	mosone
waktunya	wayahe
waktunya	wektune
walau	senajan
walaupun	senajan
wali	wakel
wali	wali
walikota	walikota
wangi	wangi
wanita	wadon
wanita	wedok
warga	warga
warga	wargo
warganya	para warga
warna	warni
warna	werna
warna	werno
warnanya	wernone
warni	warni
warni	werno
wartawan	wartawan
warung	warong
warung	warung
wasiat	piweling
wasit	wasit
waspada	waspodo
watak	watak
water	banyu
wawancara	tetakonan
wawasan	wawasan
wayang	wayang
wewenang	kuoso
whoa	wah
wilayah	ancak
wilayah	daerah
wilayahnya	ancake
wirid	wirid
wisata	wisata
wisuda	wisuda
wong	menungso
wong	uwong
wortel	wortel
wujud	rupo
wuri	mburi
wuruk	nduduhi
ya	yo
yah	yah
yakin	mesthi
yakin	yakin
yang	seng
yayasan	yayasan
yoga	yoga
you	sampeyan
zaitun	zaitun
zaman	jaman
zaman	moso
zamannya	mosone
zat	zat
ziarah	nyekar
zona	ancak
